player_id,year,prev_fip,prev_era,prev_whip,prev_kbb,prev_ip_total
11318,2026,4.7615384615384615,7.061538461538461,1.8153846153846154,1.84375,65.0
11323,2024,4.836842105263158,11.368421052631579,2.5263157894736845,0.7142857142857143,6.333333333333333
11323,2025,9.1,16.875,3.375,0.0,2.6666666666666665
11353,2024,2.8021276595744684,3.25531914893617,1.0851063829787233,3.857142857142857,47.0
11353,2026,2.906451612903226,3.483870967741936,1.3548387096774195,9.0,10.333333333333332
11364,2025,6.5285714285714285,0.0,3.8571428571428577,0.5,2.333333333333333
11379,2024,3.4954545454545456,4.295454545454546,1.3295454545454546,2.5652173913043477,146.66666666666666
11379,2025,3.8335164835164837,4.153846153846154,1.434065934065934,1.75,121.33333333333333
11379,2026,3.843732590529248,4.963788300835654,1.4707520891364902,2.183673469387755,119.66666666666667
11394,2024,4.226005361930295,4.343163538873995,1.6890080428954424,1.0694444444444444,124.33333333333333
11394,2026,4.15,7.2,1.95,1.7777777777777777,20.0
11404,2024,6.433333333333334,12.0,2.5,0.8,6.0
11410,2024,4.570967741935484,6.967741935483871,1.8,1.5357142857142858,51.666666666666664
11410,2025,4.559459459459459,2.189189189189189,1.054054054054054,2.1666666666666665,12.333333333333334
11491,2025,10.1,11.25,2.0,1.0,4.0
12295,2024,2.309205020920502,2.2594142259414225,1.0920502092050208,4.05,79.66666666666667
12295,2025,3.0033898305084747,3.8440677966101697,1.2050847457627119,6.185185185185185,196.66666666666666
12565,2024,4.590566037735849,5.264150943396227,1.679245283018868,1.0,53.0
12565,2025,4.24,2.16,1.4400000000000002,1.0,16.666666666666664
12565,2026,4.75,7.2,1.85,1.1818181818181819,20.0
12568,2025,5.2,2.7,2.7,0.8,3.333333333333333
12852,2024,3.993835616438356,5.27054794520548,1.4075342465753424,2.2962962962962963,97.33333333333333
12852,2025,5.2,6.463636363636364,1.4454545454545455,2.1176470588235294,110.0
12852,2026,5.021487603305785,4.574380165289256,1.3884297520661155,1.5172413793103448,80.66666666666667
12885,2026,1.85,1.125,1.0,2.75,8.0
