game_id,team_code,team_recent30_rbi
20240014,3001,9
20240019,3001,10
20240030,3001,11
20240035,3001,14
20240040,3001,14
20240044,3001,21
20240054,3001,22
20240059,3001,27
20240064,3001,30
20240069,3001,37
20240074,3001,44
20240079,3001,45
20240084,3001,52
20240087,3001,52
20240092,3001,54
20240097,3001,55
20240101,3001,60
20240106,3001,62
20240111,3001,67
20240120,3001,75
20240130,3001,78
20241399,3001,78
20240140,3001,84
20240145,3001,90
20240150,3001,95
20240155,3001,94
20240160,3001,94
20240164,3001,94
20240169,3001,94
20240174,3001,97
20240179,3001,102
20240184,3001,108
20240200,3001,94
20240205,3001,99
20240209,3001,116
20240214,3001,110
20240219,3001,111
20240223,3001,112
20240233,3001,111
20240236,3001,111
20240241,3001,110
20240246,3001,105
20240255,3001,105
20240260,3001,94
20240265,3001,98
20240270,3001,107
20240275,3001,106
20240280,3001,107
20240283,3001,115
20240288,3001,115
20240293,3001,115
20240300,3001,108
20240305,3001,118
20240310,3001,114
20240314,3001,113
20240319,3001,119
20240324,3001,127
20240330,3001,131
20240340,3001,118
20241407,3001,118
20240344,3001,122
20240349,3001,120
20240354,3001,128
20240356,3001,138
20240361,3001,141
20240366,3001,148
20240372,3001,147
20240377,3001,147
20240382,3001,157
20240387,3001,159
20240392,3001,157
20240397,3001,153
20240405,3001,150
20240410,3001,157
20240415,3001,163
20240419,3001,171
20240436,3001,149
20240441,3001,157
20240448,3001,132
20240453,3001,129
20240458,3001,135
20240464,3001,137
20240469,3001,133
20240479,3001,110
20240484,3001,108
20240489,3001,114
20240495,3001,113
20240500,3001,113
20240505,3001,111
20240510,3001,108
20240520,3001,100
20240525,3001,90
20240530,3001,86
20240535,3001,84
20240538,3001,87
20240543,3001,91
20240548,3001,102
20240559,3001,98
20240570,3001,103
20240575,3001,109
20240583,3001,120
20240588,3001,120
20240593,3001,118
20240601,3001,120
20240606,3001,132
20240614,3001,131
20240619,3001,129
20240624,3001,132
20240635,3001,119
20240640,3001,124
20240644,3001,127
20240649,3001,130
20240654,3001,136
20240659,3001,130
20240664,3001,124
20240669,3001,124
20241423,3001,134
20241425,3001,131
20241429,3001,134
20241433,3001,130
20241438,3001,131
20241442,3001,138
20241446,3001,134
20241452,3001,122
20241456,3001,123
20241457,3001,121
20241462,3001,114
20241525,3001,124
20241470,3001,124
20241474,3001,115
20241478,3001,123
20241485,3001,130
20241488,3001,131
20241493,3001,133
20241505,3001,128
20241531,3001,128
20241510,3001,120
20241513,3001,116
20241515,3001,121
20241519,3001,121
20241523,3001,133
20241537,3001,112
20250001,3001,0
20250006,3001,2
20250012,3001,4
20250017,3001,7
20250022,3001,8
20250029,3001,10
20250034,3001,10
20250039,3001,13
20250050,3001,17
20250055,3001,23
20250058,3001,27
20250063,3001,30
20250068,3001,35
20250072,3001,47
20250077,3001,50
20250082,3001,51
20250087,3001,58
20250092,3001,65
20250097,3001,67
20250103,3001,73
20250108,3001,81
20250113,3001,86
20250118,3001,92
20250123,3001,100
20250128,3001,103
20250137,3001,103
20250142,3001,107
20250146,3001,108
20250151,3001,114
