date,game_id,status,game_time,Stadium_code,away_team,home_team,away_sp_id,home_sp_id,away_sp_name,home_sp_name,away_score,home_score,weather_code,temperature,humidity,wind_direction,wind_speed,rain_probability,leagueType,season,target_home_win,is_draw
2023-04-25,20230104,3,18:30:00,6001,11001,2002,15535,14788,페디,이의리,6.0,0.0,10400,10.7,97,20300,1.5,,10100,2023,0.0,0
2023-04-26,20230106,3,18:30:00,1001,9002,5002,15462,14588,송영진,김윤식,5.0,3.0,10100,12.6,56,21100,2.8,,10100,2023,0.0,0
2023-04-26,20230107,3,18:30:00,1003,12001,10001,15143,13940,벤자민,요키시,2.0,13.0,10100,12.6,56,21300,2.6,,10100,2023,1.0,0
2023-04-26,20230108,3,18:30:00,7003,6002,1001,13941,14617,알칸타라,뷰캐넌,0.0,1.0,10100,17.6,31,21500,5.3,,10100,2023,1.0,0
2023-04-26,20230109,3,18:30:00,6001,11001,2002,14155,15534,송명기,메디나,0.0,6.0,10100,11.5,54,21500,1.6,,10100,2023,1.0,0
2023-04-26,20230110,3,18:30:00,8001,7002,3001,10610,14627,장민재,스트레일리,1.0,8.0,10100,18.6,32,21500,1.6,,10100,2023,1.0,0
2023-04-27,20230111,3,18:30:00,1001,9002,5002,10126,15003,김광현,플럿코,3.0,6.0,10100,18.5,31,21100,3.0,,10100,2023,1.0,0
2023-04-27,20230112,3,18:30:00,1003,12001,10001,11284,15531,조이현,후라도,1.0,3.0,10100,18.5,31,21300,2.2,,10100,2023,1.0,0
2023-04-27,20230113,3,18:30:00,7003,6002,1001,14769,11404,김동주,장필준,6.0,7.0,10100,21.9,37,21100,2.5,,10100,2023,1.0,0
2023-04-27,20230114,3,18:30:00,6001,11001,2002,11353,15432,구창모,윤영철,0.0,5.0,10100,20.7,48,21100,3.2,,10100,2023,1.0,0
2023-04-27,20230115,3,18:30:00,8001,7002,3001,11410,12930,김민우,나균안,0.0,3.0,10100,18.0,52,20900,2.6,,10100,2023,1.0,0
2023-04-28,20230116,3,18:30:00,1001,2002,5002,10058,10652,양현종,임찬규,4.0,3.0,10500,18.6,46,21500,4.2,,10100,2023,0.0,0
2023-04-28,20230117,3,18:30:00,2001,6002,9002,14770,15528,최승용,맥카티,1.0,4.0,10400,16.4,48,21100,1.0,,10100,2023,1.0,0
2023-04-28,20230118,3,18:30:00,2002,1001,12001,15001,15542,수아레즈,슐서,10.0,9.0,10500,18.1,54,21300,2.0,,10100,2023,0.0,0
2023-04-28,20230119,3,18:30:00,4001,11001,7002,13085,15146,신민혁,페냐,6.0,4.0,10400,20.0,54,21500,1.0,,10100,2023,0.0,0
2023-04-28,20230120,3,18:30:00,8001,10001,3001,11379,15011,최원태,반즈,2.0,5.0,10400,18.8,66,21100,2.6,,10100,2023,1.0,0
2023-04-29,20230121,3,17:00:00,1001,2002,5002,15533,14780,앤더슨,강효종,6.0,3.0,10400,14.5,59,21100,3.9,,10100,2023,0.0,0
2023-04-29,20230122,3,17:00:00,2001,6002,9002,12852,14581,최원준,오원석,4.0,10.0,10400,11.4,70,21300,4.0,,10100,2023,1.0,0
2023-04-29,20230123,3,17:00:00,2002,1001,12001,14113,11308,원태인,고영표,3.0,2.0,10400,11.7,70,21300,5.4,,10100,2023,0.0,0
2023-04-29,20230124,3,17:00:00,4001,11001,7002,14763,14619,이용준,남지민,3.0,2.0,10400,12.6,78,21300,2.6,,10100,2023,0.0,0
2023-04-30,20230126,3,14:00:00,1001,2002,5002,14788,13934,이의리,켈리,12.0,8.0,10100,18.1,29,21100,4.2,,10100,2023,0.0,0
2023-04-30,20230127,3,14:00:00,2001,6002,9002,13061,10131,곽빈,박종훈,2.0,0.0,10100,15.4,44,21100,3.5,,10100,2023,0.0,0
2023-04-30,20230128,3,14:00:00,2002,1001,12001,10363,11318,백정현,엄상백,1.0,0.0,10400,18.3,40,21100,5.2,,10100,2023,0.0,0
2023-04-30,20230129,3,14:00:00,4001,11001,7002,15535,15013,페디,문동주,4.0,1.0,10100,19.1,41,21100,3.3,,10100,2023,0.0,0
2023-04-30,20230130,3,14:00:00,8001,10001,3001,13091,10863,안우진,한현희,3.0,5.0,10100,20.7,42,20900,2.2,,10100,2023,1.0,0
2023-05-02,20230131,3,18:30:00,1001,7002,6002,10610,13941,장민재,알칸타라,0.0,3.0,10100,22.4,20,21300,1.0,,10100,2023,1.0,0
2023-05-02,20230132,3,18:30:00,2001,12001,9002,15143,10783,벤자민,문승원,11.0,4.0,10400,18.3,33,21300,3.2,,10100,2023,0.0,0
2023-05-02,20230133,3,18:30:00,7003,10001,1001,13940,14617,요키시,뷰캐넌,4.0,0.0,10400,24.7,19,21100,2.4,,10100,2023,0.0,0
2023-05-02,20230134,3,18:30:00,6001,3001,2002,11310,15534,박세웅,메디나,7.0,4.0,10400,21.6,35,21100,3.8,,10100,2023,0.0,0
2023-05-02,20230135,3,18:30:00,8005,5002,11001,14143,14155,이지강,송명기,5.0,3.0,10400,18.3,42,20700,2.4,,10100,2023,0.0,0
2023-05-03,20230136,3,18:30:00,1001,7002,6002,11410,14769,김민우,김동주,8.0,3.0,10100,23.6,35,21300,2.0,,10100,2023,0.0,0
2023-05-03,20230137,3,18:30:00,2001,12001,9002,14600,10126,소형준,김광현,3.0,5.0,10400,21.2,60,21300,1.5,,10100,2023,1.0,0
2023-05-03,20230138,3,18:30:00,7003,10001,1001,15531,10367,후라도,오승환,4.0,1.0,10400,21.3,51,21100,3.5,,10100,2023,0.0,0
2023-05-03,20230139,3,18:30:00,6001,3001,2002,12930,15432,나균안,윤영철,2.0,10.0,10400,18.6,72,20900,1.7,,10100,2023,1.0,0
2023-05-03,20230140,3,18:30:00,8005,5002,11001,15003,11353,플럿코,구창모,2.0,1.0,10400,18.3,54,21100,3.0,,10100,2023,0.0,0
2023-05-04,20230141,3,18:30:00,1001,7002,6002,15146,15538,페냐,딜런,10.0,3.0,10400,24.8,46,20500,1.0,,10100,2023,0.0,0
2023-05-04,20230142,3,18:30:00,2001,12001,9002,15542,15528,슐서,맥카티,2.0,10.0,10400,23.5,56,21100,1.8,,10100,2023,1.0,0
2023-05-04,20230143,3,18:30:00,7003,10001,1001,11379,15001,최원태,수아레즈,1.0,14.0,10400,21.0,56,21100,1.7,,10100,2023,1.0,0
2023-05-05,20230147,3,14:00:00,1003,9002,10001,14581,10533,오원석,정찬헌,3.0,1.0,10500,20.3,94,20900,1.8,,10100,2023,0.0,0
2023-05-06,20230152,3,17:00:00,1003,9002,10001,10131,13091,박종훈,안우진,2.0,1.0,10500,13.2,67,20300,5.2,,10100,2023,0.0,0
2023-05-07,20230156,3,14:00:00,1001,5002,6002,13934,13061,켈리,곽빈,11.0,1.0,10400,17.2,43,20700,1.6,,10100,2023,0.0,0
