game_id,team_code,lineup_weighted_ops,lineup_weighted_isop
20240441,3001,6.727846505099002,1.1198659668885114
20240441,6002,7.074681093771506,1.3191853876442472
20240442,5002,7.012816508631378,1.0702532505615723
20240442,10001,6.87418956287178,1.118885879031825
20240443,7002,6.606464136358261,1.191390107572863
20240443,12001,6.800370327608202,1.3261216859722431
20240444,1001,6.504814305631853,1.0883355086836872
20240444,2002,7.2331545351982705,1.3493838580352076
20240445,9002,6.8732367347829255,1.3156632277606277
20240445,11001,7.152684943699855,1.4169282557759957
20240446,2002,7.162546080989966,1.353343149850915
20240446,5002,7.109932137359599,1.0893120052963197
20240447,7002,6.361442787806591,1.0136583598727795
20240447,10001,6.738173317153375,1.1618042391653953
20240448,3001,6.871779707241786,1.2361066379107861
20240448,9002,6.656537960498042,1.2777156068337263
20240451,2002,7.223756407997175,1.3859331530786376
20240451,5002,7.123281215615527,1.1028177897454128
20240452,7002,6.178845843346345,0.9979836157377416
20240452,10001,6.732169599412047,1.1625694152148585
20240453,3001,6.857267947638962,1.2256106241350049
20240453,9002,6.959026220378988,1.2906862794831306
20240454,6002,7.04156738169224,1.3151304817965728
20240454,12001,6.80761137071628,1.3249019519909881
20240455,1001,6.7092253288821375,1.342155496519359
20240455,11001,6.909428864579804,1.366296089795804
20240456,2002,7.220094765223871,1.3470265575193325
20240456,5002,6.986057820766318,1.1781928576645633
20240457,7002,6.236007780352411,0.9716382364111853
20240457,10001,6.829303868081689,1.0641417344341515
20240458,3001,6.739874857347403,1.1363676118972175
20240458,9002,6.7960034568768055,1.2429408298446978
20240459,6002,7.192887298651683,1.3874931083859245
20240459,12001,6.806094575528711,1.323012413697738
20240460,1001,6.702395614256853,1.274511827010445
20240460,11001,7.005745178930535,1.3983137507103618
20240461,1001,6.402857361323111,1.1200932985029157
20240461,6002,7.046741423159639,1.343297438112703
20240462,5002,6.9521950197147255,1.0166126413408607
20240462,7002,6.418404346082546,1.05873072736677
20240463,2002,7.0515453655292335,1.2417556394899532
20240463,9002,6.850914118300107,1.2546117483661914
20240464,3001,6.770355393687947,1.0916079946181494
20240464,12001,6.784733256349826,1.3117567634362113
20240465,10001,6.566279200432538,1.0645632442556714
20240465,11001,6.9970449909450005,1.4027706478428525
20240466,1001,6.644194094885802,1.208715951874932
20240466,6002,7.234617155933335,1.4035042578707704
20240467,5002,6.863551358499683,0.9949661066857548
20240467,7002,6.365415046779477,1.0335765709687117
20240468,2002,7.2469387205523175,1.3711889413961222
20240468,9002,6.863449053933219,1.186421192495985
20240469,3001,6.735137985314313,1.125833375958453
20240469,12001,6.777683616221175,1.249294915659261
20240470,10001,6.640122179267225,1.138426082844752
20240470,11001,7.048701537035952,1.5350402243121013
20240471,1001,6.625268300359149,1.190431435698809
20240471,6002,6.875324353841361,1.2090867681164696
20240472,5002,6.891706027115874,0.9724639294984292
20240472,7002,6.23611252011505,0.9667293015022265
20240473,2002,7.152132215566569,1.3471929353935508
20240473,9002,6.871165359408665,1.2602380872926715
20240477,10001,6.7915283029869125,1.098669478897456
20240477,12001,6.799828903752555,1.3227886555536996
20240479,3001,6.856806384012826,1.1489253030025663
20240479,6002,6.7533792388070415,1.2199076513656046
20240481,5002,7.037991636216005,1.218575033847221
20240481,9002,6.9495170230442165,1.285709427573815
20240482,10001,6.759503059641618,1.1981130264304443
20240482,12001,6.795547388628711,1.2528874696836825
20240483,1001,6.659491469153627,1.3688554525289522
20240483,2002,7.2595857755248625,1.3730613078457914
20240484,3001,6.739117972280333,1.1273276534035033
20240484,6002,6.897453435208233,1.2672093880193684
20240485,7002,6.283844699922568,0.9995186800555619
20240485,11001,6.783697355844417,1.303257138694882
20240487,10001,6.560339766460403,1.1330226068922584
20240487,12001,6.93002552755826,1.3420842984652759
20240488,1001,6.294922312588367,1.0961884343852406
20240488,2002,6.959815279782946,1.2476527785917186
20240489,3001,6.772201755505356,1.070124989730278
20240489,6002,6.581392441593546,1.1408627626903463
20240490,7002,6.236452602601968,0.9908906075241799
20240490,11001,7.021384295117727,1.410005626093956
20240491,5002,7.101746114722535,1.1158579303362144
20240491,6002,6.542112194481489,1.1361543917067172
20240492,9002,7.0393448876488,1.281755074894605
20240492,10001,6.7901450062387205,1.0632150696931069
20240493,11001,6.934739377997053,1.4869878127055742
20240493,12001,7.0155659249458395,1.3309484408035883
20240494,2002,7.185795780444136,1.3593700355180502
20240494,7002,6.605158817211741,1.1710357202370774
20240495,1001,6.533740535182823,1.324606288194036
20240495,3001,6.819613926735839,1.2145470129444687
20240496,5002,6.454,1.1064
20240496,6002,6.454,1.1064
20240497,9002,6.454,1.1064
20240497,10001,6.454,1.1064
20240498,11001,6.454,1.1064
20240498,12001,6.454,1.1064
20240499,2002,7.191890471557356,1.362364650417248
20240499,7002,6.442098467587348,1.1783619296513752
20240500,1001,6.5691000076008415,1.1444470064747982
20240500,3001,6.913164544084033,1.150821685706564
20240501,5002,7.020453476468162,1.1187010207108146
20240501,6002,6.5840555355653745,1.2505887330384693
20240502,9002,6.939795680660258,1.2675795763528706
20240502,10001,6.625118896438941,1.1416677074015482
20240503,11001,6.8837816120655395,1.3867318894898262
20240503,12001,6.959710907829124,1.263444767341114
20240504,2002,6.963328762995127,1.2940124706680172
20240504,7002,6.708819979935618,1.1719826682948826
20240505,1001,6.597935955961534,1.2226250712230176
20240505,3001,6.993509521429141,1.3105026546965501
20240506,6002,6.845339451184794,1.2720816457809976
20240506,10001,6.721257054740075,1.043308512208277
20240507,9002,6.454,1.1064
20240507,12001,6.454,1.1064
20240508,1001,6.678088462939154,1.2355095709286164
20240508,7002,6.5561774495285405,1.227097393817164
20240509,2002,7.282747481550174,1.3830477013492235
20240509,11001,6.776999257960889,1.296831845451121
20240510,3001,7.000826712913732,1.3193344979448938
20240510,5002,7.042899719620557,1.192738355445597
20240511,6002,6.731873671124444,1.1883011588166432
20240511,10001,6.771363261024895,1.2395832212395024
20240512,9002,6.930390555136252,1.2637813403010345
20240512,12001,6.791924108921332,1.1903716717234432
20240513,1001,6.645761102036731,1.2533837946590543
20240513,7002,6.55761972224731,1.2250294242035094
20240514,2002,7.295481545558388,1.4012973983614534
20240514,11001,6.8875600156331025,1.449662012555451
20240516,6002,6.7817919386158545,1.1955831321639605
20240516,10001,6.674129115648096,1.0372483695818444
20240517,9002,6.850647750520716,1.2505700563375055
20240517,12001,6.9415456017349015,1.257422721613491
20240518,1001,6.454,1.1064
20240518,7002,6.454,1.1064
20240519,2002,7.134453709429415,1.2828315702392703
20240519,11001,6.674161249870901,1.3270453910229663
20240520,3001,6.8144908818438985,1.1942738770201986
20240520,5002,7.0449876083621605,1.166375442764232
20240522,2002,7.329555051815335,1.4211265216363507
20240522,10001,6.594844303598075,1.113753875640242
20240523,6002,6.700062550437292,1.159625919097597
20240523,9002,6.926988247990232,1.2194858231049608
20240524,1001,6.486369590113178,1.0882980387879124
20240524,12001,7.002207497905147,1.35242558473945
20240525,3001,6.822220336947293,1.1418940834065237
20240525,11001,6.796429436967134,1.3347658105772866
20240527,2002,7.28895689283521,1.4015159326308444
20240527,10001,6.5771676904054095,1.1046212052935112
20240528,6002,6.689772286759403,1.1700033312331453
20240528,9002,6.885822063260805,1.2381286347785705
20240529,1001,6.335572705709289,1.0926531498825487
20240529,12001,6.794172054347058,1.186867849993666
20240530,3001,6.827770163351606,1.224258985307641
20240530,11001,6.648872434574893,1.4372105944562363
20240531,5002,6.81776796820602,1.0029776040524534
20240531,7002,6.5817142628933,1.219931968816738
20240532,2002,7.092892630406245,1.254544056406661
20240532,10001,6.801296312700536,1.1325238838163434
20240533,6002,6.649834446667477,1.1222449203393194
20240533,9002,6.924082657675571,1.2073349134243045
20240534,1001,6.365839627565925,1.1072889905044105
20240534,12001,6.875661764204604,1.3072329480567704
20240535,3001,7.002202108826172,1.3192044540321535
20240535,11001,6.535005238892417,1.2526973468394471
20240536,1001,6.402213425506065,1.1434585668512558
20240536,5002,7.074185709454515,1.139813498370684
20240537,10001,6.577056210790682,1.1260279716724773
20240537,11001,6.65983537836488,1.3463067387667784
20240538,3001,6.988982691479872,1.2054618325966509
20240538,9002,6.9305212074511156,1.2272302233878212
20240539,7002,6.495414197812515,1.2274435739821938
20240539,12001,6.8227909670743,1.3194286812808516
