game_id,player_id,team_code,vs_team,game_date,G,GS,IP,R,ER,TBF,H,HR,BB,SO,NP,ERA,WHIP,OPS,IP_real,is_starter_actual,role_game
20250033,10058,2002,7002,03-29,1,1,6.0,3,1,27,6,0,2,5,100,1.5,1.33,0.694,6.0,1,starter
20250056,10058,2002,5002,04-04,1,1,5.0,4,4,23,7,0,1,3,78,7.2,1.6,0.824,5.0,1,starter
20250089,10058,2002,9002,04-11,1,1,4.1,6,6,22,7,0,3,3,74,12.46,2.31,0.92,4.333333333333333,1,starter
20250115,10058,2002,12001,04-17,1,1,5.1,3,3,25,9,1,2,3,84,5.06,2.06,1.049,5.333333333333333,1,starter
20250149,10058,2002,5002,04-25,1,1,5.0,5,5,23,6,0,4,2,88,9.0,2.0,0.909,5.0,1,starter
20250194,10058,2002,10001,05-05,1,1,6.0,1,1,24,5,0,2,5,96,1.5,1.17,0.565,6.0,1,starter
20250792,10058,2002,9002,05-11,1,1,5.1,3,3,21,3,0,2,5,79,5.06,0.94,0.516,5.333333333333333,1,starter
20250244,10058,2002,6002,05-17,1,1,6.0,1,1,25,6,1,1,7,91,1.5,1.17,0.655,6.0,1,starter
20250264,10058,2002,12001,05-22,1,1,6.2,3,0,27,4,0,4,4,88,0.0,1.2,0.47,6.666666666666667,1,starter
20250290,10058,2002,10001,05-28,1,1,4.2,6,6,25,10,0,2,4,85,11.57,2.57,1.002,4.666666666666667,1,starter
20250311,10058,2002,6002,06-03,1,1,5.0,2,1,22,5,0,1,5,96,1.8,1.2,0.511,5.0,1,starter
20250340,10058,2002,7002,06-08,1,1,2.1,5,4,16,8,0,0,2,49,15.43,3.43,1.292,2.333333333333333,1,starter
20250364,10058,2002,11001,06-14,1,1,5.0,3,3,21,4,1,2,3,62,5.4,1.2,0.654,5.0,1,starter
20250392,10058,2002,9002,06-21,1,1,6.0,2,2,24,4,2,1,6,97,3.0,0.83,0.643,6.0,1,starter
20250416,10058,2002,5002,06-27,1,1,6.0,3,3,25,4,1,3,2,89,4.5,1.17,0.598,6.0,1,starter
20250444,10058,2002,9002,07-03,1,1,6.0,2,2,24,5,0,1,4,75,3.0,1.0,0.534,6.0,1,starter
20250470,10058,2002,7002,07-09,1,1,4.0,5,5,18,5,1,2,5,77,11.25,1.75,0.889,4.0,1,starter
20250509,10058,2002,5002,07-24,1,1,6.0,0,0,22,3,0,3,3,84,0.0,1.0,0.431,6.0,1,starter
20250534,10058,2002,6002,07-30,1,1,5.2,1,1,21,3,0,2,4,80,1.59,0.88,0.449,5.666666666666667,1,starter
20250568,10058,2002,3001,08-07,1,1,5.2,3,0,23,5,0,1,0,92,0.0,1.06,0.488,5.666666666666667,1,starter
20250598,10058,2002,1001,08-14,1,1,5.2,3,2,25,8,0,0,4,86,3.18,1.41,0.768,5.666666666666667,1,starter
20250624,10058,2002,10001,08-20,1,1,6.1,4,1,28,8,0,0,5,88,1.42,1.26,0.592,6.333333333333333,1,starter
20250647,10058,2002,9002,08-26,1,1,3.2,4,4,19,9,1,1,1,77,9.82,2.73,1.248,3.6666666666666665,1,starter
20250674,10058,2002,12001,08-31,1,1,4.1,4,4,21,6,0,3,2,90,8.31,2.08,0.804,4.333333333333333,1,starter
20250881,10058,2002,11001,09-07,1,1,6.0,2,2,24,4,0,1,5,93,3.0,0.83,0.435,6.0,1,starter
20250902,10058,2002,5002,09-14,1,1,2.0,5,5,15,5,0,5,2,67,22.5,5.0,1.167,2.0,1,starter
20250926,10058,2002,11001,09-20,1,1,5.1,4,3,25,5,0,2,3,86,5.06,1.31,0.683,5.333333333333333,1,starter
20250947,10058,2002,11001,09-27,1,1,6.0,2,2,20,2,2,1,3,92,3.0,0.5,0.571,6.0,1,starter
20250993,10058,2002,1001,10-04,1,1,2.2,8,8,19,9,1,2,4,70,27.0,4.13,1.52,2.6666666666666665,1,starter
20230003,10126,9002,2002,04-01,1,1,5.0,1,1,22,4,0,3,3,87,1.8,1.4,0.568,5.0,1,starter
20230032,10126,9002,7002,04-08,1,1,3.0,5,5,20,8,1,4,1,70,15.0,4.0,1.533,3.0,1,starter
20230087,10126,9002,10001,04-21,1,1,6.0,1,1,23,3,1,2,6,96,1.5,0.83,0.55,6.0,1,starter
20230111,10126,9002,5002,04-27,1,1,4.0,3,3,19,6,1,2,2,89,6.75,2.0,0.95,4.0,1,starter
20230137,10126,9002,12001,05-03,1,1,5.0,2,1,23,6,0,1,5,100,1.8,1.4,0.651,5.0,1,starter
20230164,10126,9002,2002,05-09,1,1,6.0,3,3,24,6,1,2,6,85,4.5,1.33,0.788,6.0,1,starter
20230188,10126,9002,7002,05-14,1,1,6.1,2,2,27,6,0,3,5,97,2.84,1.42,0.583,6.333333333333333,1,starter
20230214,10126,9002,3001,05-20,1,1,6.0,0,0,19,1,0,0,9,88,0.0,0.17,0.106,6.0,1,starter
20230310,10126,9002,11001,06-11,1,1,4.1,4,4,20,5,1,2,4,83,8.31,1.62,0.931,4.333333333333333,1,starter
20230332,10126,9002,3001,06-17,1,1,5.0,3,3,23,6,1,5,4,97,5.4,2.2,0.978,5.0,1,starter
20230358,10126,9002,1001,06-23,1,1,7.0,0,0,25,4,0,2,3,94,0.0,0.86,0.457,7.0,1,starter
20230387,10126,9002,10001,06-30,1,1,7.2,1,1,29,5,0,1,9,111,1.17,0.78,0.457,7.666666666666667,1,starter
20230413,10126,9002,2002,07-06,1,1,4.1,7,7,23,8,2,3,1,94,14.54,2.54,1.267,4.333333333333333,1,starter
20230438,10126,9002,6002,07-12,1,1,6.1,0,0,24,4,0,2,3,97,0.0,0.95,0.451,6.333333333333333,1,starter
20230446,10126,9002,5002,07-21,1,1,6.0,4,4,27,7,0,2,2,97,6.0,1.5,0.693,6.0,1,starter
20230474,10126,9002,1001,07-27,1,1,4.0,4,3,22,4,1,5,3,97,6.75,2.25,0.896,4.0,1,starter
20230497,10126,9002,12001,08-02,1,1,7.0,1,1,28,4,0,3,2,102,1.29,1.0,0.509,7.0,1,starter
20230523,10126,9002,11001,08-08,1,1,6.0,1,1,25,5,0,2,4,99,1.5,1.17,0.507,6.0,1,starter
20230547,10126,9002,1001,08-13,1,1,7.0,0,0,23,3,0,2,3,99,0.0,0.71,0.36,7.0,1,starter
20230573,10126,9002,5002,08-19,1,1,6.2,5,5,30,8,0,4,3,97,6.75,1.8,0.785,6.666666666666667,1,starter
20230596,10126,9002,6002,08-25,1,1,4.0,7,6,19,9,0,1,1,61,13.5,2.5,1.291,4.0,1,starter
20230622,10126,9002,10001,08-31,1,1,7.0,2,2,29,6,0,2,5,98,2.57,1.14,0.545,7.0,1,starter
20230648,10126,9002,7002,09-06,1,1,3.2,4,4,21,9,0,2,5,104,9.82,3.0,1.159,3.6666666666666665,1,starter
20230868,10126,9002,12001,09-12,1,1,6.0,1,1,23,4,0,2,5,109,1.5,1.0,0.451,6.0,1,starter
20230887,10126,9002,5002,09-17,1,1,5.0,3,2,20,4,1,1,6,79,3.6,1.0,0.618,5.0,1,starter
20230907,10126,9002,3001,09-22,1,1,7.0,3,3,29,7,1,2,2,107,3.86,1.29,0.754,7.0,1,starter
20230923,10126,9002,6002,09-27,1,1,6.0,0,0,24,5,0,3,2,95,0.0,1.33,0.619,6.0,1,starter
20230954,10126,9002,11001,10-04,1,1,6.0,4,1,25,7,0,1,5,91,1.5,1.33,0.769,6.0,1,starter
20230976,10126,9002,2002,10-10,1,1,5.0,4,2,25,6,0,4,6,94,3.6,2.0,0.781,5.0,1,starter
20231028,10126,9002,6002,10-17,1,1,6.0,0,0,22,3,0,2,4,81,0.0,0.83,0.377,6.0,1,starter
20240002,10126,9002,3001,03-23,1,1,5.0,3,3,24,6,1,2,6,96,5.4,1.6,0.742,5.0,1,starter
20240029,10126,9002,1001,03-29,1,1,6.0,1,1,24,2,0,4,7,102,1.5,1.0,0.4,6.0,1,starter
20240052,10126,9002,6002,04-04,1,1,2.2,0,0,10,1,0,1,2,41,0.0,0.75,0.311,2.6666666666666665,1,starter
20240077,10126,9002,10001,04-10,1,1,6.0,2,2,22,4,1,1,6,93,3.0,0.83,0.623,6.0,1,starter
20240103,10126,9002,2002,04-16,1,1,6.0,2,2,21,5,1,1,5,86,3.0,1.0,0.686,6.0,1,starter
20240127,10126,9002,5002,04-21,1,1,6.0,5,5,26,7,1,1,7,94,7.5,1.33,0.788,6.0,1,starter
20240153,10126,9002,12001,04-27,1,1,5.0,4,4,23,8,3,0,8,87,7.2,1.6,1.131,5.0,1,starter
20240177,10126,9002,11001,05-03,1,1,4.1,7,7,23,8,1,2,5,97,14.54,2.31,1.085,4.333333333333333,1,starter
20240201,10126,9002,5002,05-09,1,1,6.1,3,3,25,3,0,3,6,94,4.26,0.95,0.376,6.333333333333333,1,starter
20240232,10126,9002,1001,05-16,1,1,5.2,2,2,25,6,1,4,3,95,3.18,1.76,0.829,5.666666666666667,1,starter
20240256,10126,9002,6002,05-22,1,1,6.0,1,1,22,2,0,1,6,90,1.5,0.5,0.332,6.0,1,starter
20240282,10126,9002,5002,05-28,1,1,2.2,7,7,19,7,2,4,0,81,23.63,4.13,1.512,2.6666666666666665,1,starter
20241407,10126,9002,3001,06-09,1,1,6.0,0,0,22,6,0,2,4,88,0.0,1.33,0.764,6.0,1,starter
20240364,10126,9002,7002,06-15,1,1,5.0,1,1,22,5,0,3,6,84,1.8,1.6,0.732,5.0,1,starter
