player_id,player_name,team_code,pj_date
16138,헤이수스,10001,2024-03-23
16141,더거,9002,2024-03-23
10590,류현진,7002,2024-03-23
13177,조대현,12001,2024-04-17
15097,김병준,12001,2024-04-09
11364,김사윤,2002,2024-04-11
15475,박윤성,10001,2024-04-28
15508,최준호,6002,2024-04-17
11387,채원후,11001,2024-04-30
14675,김수인,5002,2024-05-01
14651,이종준,5002,2024-04-10
15862,맥키넌,1001,2024-04-09
15864,육선엽,1001,2024-05-01
14797,나승엽,3001,2024-04-28
12918,김성민,10001,2024-04-13
13223,변상권,10001,2024-04-23
16028,육청명,12001,2024-04-12
16042,정준재,9002,2024-05-01
16067,김택연,6002,2024-04-09
16101,백두산,3001,2024-05-01
16110,황영묵,7002,2024-04-09
14816,우강훈,5002,2024-04-18
14116,양우현,1001,2024-05-30
12523,서예일,6002,2024-05-17
14733,최종인,6002,2024-05-31
10737,박시영,12001,2024-05-12
15450,신영우,11001,2024-05-25
11248,배재환,11001,2024-06-01
15036,김재혁,1001,2024-05-24
14776,한차현,12001,2024-05-02
14847,이믿음,5002,2024-05-31
16015,진우영,5002,2024-05-22
16017,정지헌,5002,2024-05-29
16043,정현승,9002,2024-05-29
16108,조동욱,7002,2024-05-12
14128,김도현,2002,2024-05-03
16146,앤더슨,9002,2024-05-10
15092,안현민,12001,2024-05-30
16148,시라카와,9002,2024-06-01
12854,양지율,10001,2024-06-20
14681,김동욱,10001,2024-06-20
14687,박시후,9002,2024-06-28
13102,김영준,5002,2024-06-11
14171,전루건,11001,2024-06-30
15519,정준영,12001,2024-06-21
14110,박민석,12001,2024-06-29
14135,이상영,5002,2024-06-16
14680,함창건,5002,2024-06-21
14597,박시원,11001,2024-06-14
15868,김호진,1001,2024-06-30
14667,성재헌,12001,2024-06-08
14737,오명진,6002,2024-06-30
14173,이교훈,6002,2024-06-25
14795,정우준,3001,2024-06-26
14781,김진수,5002,2024-06-05
14779,김건형,12001,2024-06-25
16016,김대원,5002,2024-06-11
16038,박지환,9002,2024-06-08
16072,전다민,6002,2024-06-28
16150,바리아,7002,2024-06-05
16151,알드레드,2002,2024-06-08
16153,와이스,7002,2024-06-25
11266,김민수,1001,2024-07-31
13271,현도훈,3001,2024-07-31
14570,장규빈,6002,2024-07-30
14794,송재영,3001,2024-07-31
16057,손주환,11001,2024-07-31
13665,권휘,6002,2024-07-31
16155,발라조빅,6002,2024-07-14
14142,임준형,5002,2024-07-16
11334,심우준,12001,2024-07-16
11373,김택형,9002,2024-07-17
14804,장지훈,9002,2024-07-17
16156,카디네스,1001,2024-07-19
16158,제러드,6002,2024-07-30
14131,윤정현,10001,2024-08-29
15452,신용석,11001,2024-08-29
15479,박성빈,10001,2024-08-24
14607,유지성,2002,2024-08-27
14222,김범준,11001,2024-09-01
