game_id,player_id,team_code,PA,AB,H,HR,RBI,BB,SO,R,H2,H3,HBP,SB,CS,SF,AVG,OBP,SLG,OPS
20240119,10008,2002,4,3,0,0,0,1,0,0,,,,0,0,0,0.0,0.25,0.0,0.25
20240124,10008,2002,4,4,0,0,0,0,0,0,,,,0,0,0,0.0,0.0,0.0,0.0
20240129,10008,2002,4,4,2,0,0,0,0,0,,,,0,0,0,0.5,0.5,0.5,1.0
20240132,10008,2002,4,4,1,0,0,0,1,0,,,,0,0,0,0.25,0.25,0.25,0.5
20240137,10008,2002,4,3,1,0,1,1,1,0,,,,0,0,0,0.333,0.5,0.333,0.833
20240142,10008,2002,5,4,2,0,1,1,0,2,,,,0,0,0,0.5,0.6,0.5,1.1
20240146,10008,2002,5,3,0,0,1,1,0,0,,,,1,0,0,0.0,0.4,0.0,0.4
20240151,10008,2002,4,4,0,0,0,0,1,0,,,,0,0,0,0.0,0.0,0.0,0.0
20240156,10008,2002,6,5,3,0,0,0,1,3,,,,0,0,0,0.6,0.667,0.8,1.467
20240163,10008,2002,4,3,0,0,0,1,0,0,,,,0,0,0,0.0,0.25,0.0,0.25
20240168,10008,2002,5,4,2,1,2,1,0,2,,,,0,0,0,0.5,0.6,1.5,2.1
20240180,10008,2002,4,4,1,0,0,0,2,0,,,,0,0,0,0.25,0.25,0.25,0.5
20240185,10008,2002,4,4,2,0,0,0,0,1,,,,0,0,0,0.5,0.5,0.5,1.0
20240199,10008,2002,3,3,0,0,0,0,0,0,,,,0,0,0,0.0,0.0,0.0,0.0
20240208,10008,2002,3,3,1,0,0,0,1,0,,,,0,0,0,0.333,0.333,0.333,0.666
20240218,10008,2002,4,4,2,1,1,0,0,1,,,,0,0,0,0.5,0.5,1.25,1.75
20240225,10008,2002,4,3,1,0,0,1,1,1,,,,0,0,0,0.333,0.5,0.333,0.833
20240230,10008,2002,4,4,2,0,0,0,0,1,,,,0,0,0,0.5,0.5,0.5,1.0
20240235,10008,2002,5,5,1,0,0,0,0,1,,,,0,0,0,0.2,0.2,0.2,0.4
20240240,10008,2002,4,2,0,0,0,1,0,0,,,,0,0,0,0.0,0.333,0.0,0.333
20240245,10008,2002,4,2,0,0,0,2,0,2,,,,0,0,0,0.0,0.5,0.0,0.5
20240250,10008,2002,4,4,0,0,0,0,1,0,,,,0,0,0,0.0,0.0,0.0,0.0
20240255,10008,2002,4,3,1,0,1,1,0,0,,,,0,0,0,0.333,0.5,0.333,0.833
20240260,10008,2002,4,4,0,0,0,0,0,0,,,,0,0,0,0.0,0.0,0.0,0.0
20240265,10008,2002,1,1,1,0,0,0,0,0,,,,0,0,0,1.0,1.0,1.0,2.0
20240269,10008,2002,4,3,1,0,0,1,0,0,,,,0,0,0,0.333,0.5,0.667,1.167
20240274,10008,2002,4,4,2,0,0,0,0,1,,,,0,0,0,0.5,0.5,0.5,1.0
20240279,10008,2002,4,4,0,0,0,0,0,0,,,,0,0,0,0.0,0.0,0.0,0.0
20240285,10008,2002,5,4,2,0,1,1,1,0,,,,0,0,0,0.5,0.6,0.5,1.1
20240290,10008,2002,4,2,2,0,0,2,0,1,,,,0,0,0,1.0,1.0,1.0,2.0
20240295,10008,2002,5,4,2,0,1,1,0,1,,,,0,0,0,0.5,0.6,0.5,1.1
20240299,10008,2002,4,4,0,0,0,0,0,0,,,,0,0,0,0.0,0.0,0.0,0.0
20240304,10008,2002,4,4,3,0,2,0,0,0,,,,0,0,0,0.75,0.75,0.75,1.5
20240314,10008,2002,3,3,1,0,0,0,0,0,,,,0,0,0,0.333,0.333,0.333,0.666
20240319,10008,2002,3,3,0,0,0,0,0,0,,,,0,0,0,0.0,0.0,0.0,0.0
20240324,10008,2002,4,4,2,1,3,0,0,1,,,,0,0,0,0.5,0.5,1.25,1.75
20240326,10008,2002,6,5,3,0,1,1,0,0,,,,0,0,0,0.6,0.667,0.6,1.267
20240331,10008,2002,5,5,2,0,1,0,0,0,,,,0,0,0,0.4,0.4,0.4,0.8
20240342,10008,2002,3,3,2,0,0,0,1,1,,,,0,0,0,0.667,0.667,0.667,1.334
20240418,10008,2002,5,5,0,0,0,0,0,0,,,,0,0,0,0.0,0.0,0.0,0.0
20240434,10008,2002,4,4,2,0,0,0,0,0,,,,0,0,0,0.5,0.5,0.5,1.0
20240439,10008,2002,5,5,1,0,0,0,0,0,,,,0,0,0,0.2,0.2,0.2,0.4
20240444,10008,2002,5,5,1,0,0,0,1,1,,,,0,0,0,0.2,0.2,0.4,0.6
20240446,10008,2002,5,5,2,0,2,0,0,0,,,,0,0,0,0.4,0.4,0.4,0.8
20240451,10008,2002,3,3,1,0,0,0,0,0,,,,0,0,0,0.333,0.333,0.333,0.666
20240456,10008,2002,4,4,2,0,1,0,0,0,,,,0,0,0,0.5,0.5,0.75,1.25
20240463,10008,2002,4,4,1,1,3,0,0,1,,,,0,0,0,0.25,0.25,1.0,1.25
20240468,10008,2002,4,4,2,0,0,0,0,1,,,,0,0,0,0.5,0.5,0.75,1.25
20240473,10008,2002,4,4,1,0,0,0,0,0,,,,0,0,0,0.25,0.25,0.25,0.5
20240483,10008,2002,4,4,1,0,0,0,1,0,,,,0,0,0,0.25,0.25,0.5,0.75
20240488,10008,2002,5,5,2,0,0,0,2,1,,,,0,0,0,0.4,0.4,0.4,0.8
20240494,10008,2002,4,4,0,0,0,0,1,0,,,,0,0,0,0.0,0.0,0.0,0.0
20240499,10008,2002,4,3,0,0,0,0,0,0,,,,0,0,0,0.0,0.25,0.0,0.25
20240504,10008,2002,5,5,1,0,0,0,1,0,,,,0,0,0,0.2,0.2,0.2,0.4
20240509,10008,2002,4,4,0,0,0,0,0,0,,,,0,0,0,0.0,0.0,0.0,0.0
20240514,10008,2002,3,3,2,1,1,0,0,2,,,,0,0,0,0.667,0.667,1.667,2.334
20240519,10008,2002,5,3,0,0,0,2,0,0,,,,0,0,0,0.0,0.4,0.0,0.4
20240522,10008,2002,4,4,0,0,0,0,2,0,,,,0,0,0,0.0,0.0,0.0,0.0
20240527,10008,2002,3,3,0,0,0,0,1,0,,,,0,0,0,0.0,0.0,0.0,0.0
20240532,10008,2002,4,4,1,1,1,0,0,1,,,,0,0,0,0.25,0.25,1.0,1.25
20240540,10008,2002,5,5,0,0,0,0,0,0,,,,0,0,0,0.0,0.0,0.0,0.0
20240545,10008,2002,5,5,1,0,0,0,2,0,,,,0,0,0,0.2,0.2,0.2,0.4
20240552,10008,2002,4,4,1,0,1,0,0,0,,,,0,0,0,0.25,0.25,0.5,0.75
20240557,10008,2002,4,3,0,0,0,1,0,0,,,,0,0,0,0.0,0.25,0.0,0.25
20240569,10008,2002,3,3,1,0,0,0,0,0,,,,0,0,0,0.333,0.333,0.333,0.666
20240574,10008,2002,4,4,0,0,0,0,0,0,,,,0,0,0,0.0,0.0,0.0,0.0
20240579,10008,2002,3,3,0,0,0,0,0,0,,,,0,0,0,0.0,0.0,0.0,0.0
20240585,10008,2002,5,5,2,0,0,0,0,1,,,,0,0,0,0.4,0.4,0.6,1.0
20240595,10008,2002,5,4,3,0,1,0,0,0,,,,0,1,0,0.75,0.75,0.75,1.5
20240597,10008,2002,4,3,1,0,0,1,0,0,,,,0,0,0,0.333,0.5,0.333,0.833
20240602,10008,2002,4,4,0,0,0,0,1,0,,,,0,0,0,0.0,0.0,0.0,0.0
